 [Music]
 Welcome to the Chris LaCardos Show, where we discuss leadership and life and discover that business is what you do not who you are.
 [Music]
 Welcome to the show.
 Today we are talking about... BALABALABALABALANCE right now.
 [Laughs]
 We are talking about how to find balance in every area of your life.
 Today we are going to be talking about the wheel of life and the things that we do and how we discover balance and how we make sure that we are paying attention to the important areas of our life.
 Now we ask you folks what your biggest struggle was in two years in a row you answered time management and work life balance.
 And work life balance happens to be one of the top questions I get at every next level leadership live event.
 When we do our Q&As, that tends to be something that people ask about a lot.
 Chris, how do I do this? How do I balance my life with my work?
 And so as today as we are talking through this, I am going to use the word balance a lot.
 There is no true balance because you can't spend the exact amount of time in each one of those areas where you could.
 But then the considerably more important things are going to fall apart.
 You don't need to spend as much time in your social life as you do in your family life, right?
 The family is more important.
 So if you spend more time in your social, it will happen to your family.
 It's not an equal balance. Most people on the planet do not spend anywhere near as much time in the spiritual.
 The God aspect of their life as they should do it as a matter of fact that's usually by far the smallest portion of this process that you know focusing on each area of their life.
 That should be an area that we spend more time in.
 So we use in next level life. We use the Wheel of Life.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 Now it's a big thing.
 But their marriage is tanking.
 Or their relationship with their kids.
 Or their relationship with God is tanking.
 Or some folks, you know their social life is phenomenal.
 But their personal life, their personal growth is suck and win.
 And when you look at these things, usually the things that people are doing really well in,
 it's not the most important things to them.
 It's just where they've put their attention.
 It could be someplace that they get the most worth in life.
 But it's something that they tend to struggle with.
 And that is why the will of life is such a powerful tool that we use in next-level life.
 And this episode is brought to you by next-level life.
 So folks, if you're feeling stuck, if you find yourself feeling burnt out or lacking balance and work in life,
 or stuck in the same old patterns, but not moving forward, take action.
 What if you woke up every morning with a clear purpose?
 Where would you be five years from now if you had more clarity, purpose and peace?
 Probably different from where you stand today.
 There is a better way.
 And it starts with taking action on the right information.
 Next-level life is a two-day personal discovery experience.
 It's a one-on-one personalized event where we guide you through a process to help you get unstuck in life.
 To set direction in every area of the will of life, to improve your relationships and discover what's holding you back.
 So if you're struggling with this contentment, if you're filled with things out of your frustration,
 don't keep going through the motions every day.
 Go to christlacardo.com/discover and take the next step.
 Trust me, you will be glad that you did.
 Now, what do we see with next-level life folks when they come third?
 So we're talking today about the will of life, we're talking about the priorities and those different areas, and why this is so important to you.
 When folks come through the event, and we discuss the very things we're talking about right now, then what we get to see is where their priorities are.
 We get to see.
 We do something that's called your wellness.
 It's one of our elements that we do in the event where we help people to see what makes them healthy and what makes them unhealthy.
 So discovering the things that make you healthy in your career are incredibly important.
 Discovering the things that make you unhealthy are incredibly important.
 The crazy thing is, when we take a look at it as a whole, what we discover is how healthy you are as a whole.
 What are the things, how much of the unhealthy stuff is happening in your life, how much of the healthy stuff is or is not happening.
 So again, the key here is that the places that they're doing the best and have the greatest amount of focus, those rarely end up being the most important things to them in their lives.
 They tend to be the places that give them, again, the most worth.
 So for the given example of my life, an area that I struggle to keep my will round.
 That's, you know, Zig used to say, if you're not spending enough time in an area, you've got to flat tire.
 If you're spending too much time in one of these areas, then it's kind of an oblong tire, right?
 Your will is out of round.
 So an area that I struggle to keep my will round is the work life balance.
 Now keep in mind, I'm the guy who teaches a lot of this stuff.
 I'm the guy who helps a lot of people with this.
 And the reason why I'm able to do that is because that's something that earlier in my career was not in balance.
 There was a time when my work was my only focus.
 I put my head down and I got things done.
 And I had was believing the same lie that if I built this phenomenal career or if I made tons of money, all these things are going to make me happy.
 Oh my gosh, you know what, I've praised God that I've been able to do a lot of things in life.
 I've accomplished a lot of things in my life.
 But I can tell you there are areas that I regret, where I spent so much time with my head down building something that I didn't focus on other things that I could have been doing.
 Or I missed out on other things in life.
 All the things I accomplished in that time, there are great, great things and I'm very proud of them.
 But I could have spent less time and have been proud of other areas in my life.
 Hitting milestones was phenomenal.
 Accomplishing things, changing people's lives, all of that absolutely incredible.
 Love what I did.
 But I would have also put balance in other areas of my life.
 So as you look at the wheel, note what areas you're strong in, but really take a hard look at the areas where you suffer.
 If you do a great job with the career, but you suffer in the social, you'll have a very stressed, filled, boring life.
 If you knock it out of the part intellectually, but you don't focus on your family, it won't be much of your family eventually.
 And you will hate that.
 Lots of people do. Lots of people experience that.
 So simply put, as you see the areas of the wheel that are lacking your attention, and you have to actually recognize that they're lacking your attention.
 A lot of folks, I get a lot of business owners that will come through next level of life that do not believe they need any focus on the social.
 That maybe you right now.
 I can promise you that is an incorrect belief.
 That belief system is no bueno.
 God did not create you to focus on only working.
 He created us to be communal.
 We ever since the very beginning of time were supposed to commune.
 We're supposed to have a social life.
 We're supposed to have time with him.
 We're supposed to have time with other people.
 It's supposed to be more than just put your head down and building a business or building a team or whatever it is that you're doing in your career area, right?
 You're supposed to have community.
 You're supposed to spend time in your social life.
 So spend some quality time setting goals on what it would take to get your wheel more round.
 And again, keep in mind here.
 It's not a perfect amount of time spent in each area.
 If you're a parent with kids, your family part of your wheel is going to be considerably bigger.
 But if all you ever do is family, then the other areas will struggle as well.
 So we're not looking for an equal balance.
 We're looking for what we would consider to be the right amount of balance.
 As you do, you will feel more balanced in the rest of your life.
 So weekly action items.
 We created a downloadable PDF to help you utilize the wheel of life to set goals and implement.
 So you're giving focus to the most important things in your life.
 Now this will guide you through the action items we're about to cover.
 So very simple.
 Go to crslicardo.com/288 download to get this PDF.
 It's crslicardo.com to 8/8 download so you can get this PDF.
 Now we're not going in depth on this in the show, but the download will walk you through this process.
 How to set goals in each area of the wheel of life.
 You're career.
 You're financial.
 You're God or spiritual.
 You're physical.
 You're social. You're personal and your family.
 Some questions to answer to set goals in each area.
 Ask these individually in each area of the wheel of life.
 What is most important to me?
 The first thing you want to ask.
 What is most important to me?
 When it comes to, again, the spiritual side.
 What's the most important thing to you when it comes to God?
 What is that?
 Do you even know that?
 Do you recognize what it is?
 For me, there is nothing more important.
 Period in my life.
 The most important thing to me is my relationship with God and the fact that I am going to spend eternity with him.
 There's nothing more important.
 Why?
 Because I've come to a place in this life of understanding that there's only one person who holds my eternity in his hands.
 It's either going to be with him or it's going to be an incredibly painful eternity separated from him.
 I don't want that.
 I won't be with him.
 And I want the inheritance that's coming.
 I want to have the phenomenal life, right?
 This isn't the life, guys.
 This is the one that sets up the next one.
 It's either going to be great or it's going to be terrible.
 What is most important to you when it comes to God?
 What is most important to you when it comes to your social life?
 For me, one of the big pieces that's incredibly important to me when it comes to a social life, healthy friends.
 Not just friends, not just acquaintances.
 I have tons of that.
 I need healthy friends to be in my life.
 I want healthy folks that we can enjoy time together that we can laugh that we can have fun.
 I just spent some time with some dear friends of mine.
 And it absolutely gives me life.
 It's joyful to spend time with them, but it also leaves life into me to be able to spend time with people who are healthy.
 So one of the most important things to me in my social life is having healthy, close circle of friends.
 Second thing you want to ask, what makes me healthy in this area?
 So one of the things when it comes to, I don't know my career.
 What makes me healthy in my career that I am changing lives.
 That I am not focusing on me and I'm loving other people really well.
 That I am spending time making my team successful.
 These are things that make me very healthy.
 Here at the Poeming Group, we are constantly pushing to get rid of self and put other people first.
 The more we do, the less we think about ourselves.
 So the more healthy we get to be when it comes to our career because our focus is on how do we take care of people?
 Well, I talked about this in an earlier episode where we brought in one of our guys that's a client who is now actually part of our team.
 To sit through our strap plan, we personally do strap plan twice a year.
 Once a twice a year.
 And as he sat through, we are pulling apart our own products, our own services and saying, "How can we make this better? How can we make this better?"
 And one of the things he come in, and he's like, "These are the things that change my life.
 I feel terrible saying anything bad about them."
 And I'm like, "Well, why is that?" He's like, "Because they've worked. They're great. They change my life."
 And I'm like, "Well, our goal is not to be stuck on whether or not they do work.
 Our goal is not to be stuck on whether or not they do work. We're not losing a worth by ripping it apart. How do we make it better?
 By having that mindset that makes me healthy when it comes to my career."
 Third question, "What makes me unhealthy?"
 When it comes to, "If it's in my career, what makes me unhealthy?"
 "Focusing on me."
 "Making it about me trying to be in control, focusing on money."
 A lot of people struggle with this and pretty much every area of the wheel of life.
 If I was comparing myself to others. If I was looking out and going, "Oh, well, this, this thought leader is doing so well in this area, and I'm not.
 Not understanding that God has given me gifts and talents to focus on the things I'm supposed to focus on.
 Those are things that would make me unhealthy, right?"
 Question number four, "What brings me joy?"
 What brings me joy?
 When it comes to the physical side of my life, my physical being, "What brings me joy?"
 I can tell you for me, "I love going home to Tahoe and going for just incredibly long walks and the woods,
 Hikes up and down the mountains, spending time looking over Tahoe, that absolutely brings me joy."
 It also gives me life.
 What in each area of the wheel of life brings you joy?
 Question number five, if I could wave a magic wand, what would the best version of this area look like?
 If I wanted my finances to look great, and I was to wave a magic wand, what would that outcome be?
 What would that look like?
 For me, if I could wave a magic wand, it's continuing to have the ability to give a bunch of money away and bless people.
 Question number six, "What do I believe God wants for me in this area?"
 This is a tough one.
 Guys, all of these questions are really tough.
 This is a tough one.
 "What do I believe God wants for me in my family area?"
 "What do I believe God wants for me in my relationship with him?
 What do I believe God wants for me in my finances and my social life?"
 "What do I believe He wants for me?"
 Write those things down, and you will be blown away by what you discover.
 And if you spend plenty of time on it, don't dodge this.
 You don't hide from that question.
 If you spend plenty of time, guess what?
 You're going to come up with some pretty solid answers.
 Question number seven, "What specific goals do I want to set for this area?"
 This is one of those things where my virtual mentor, Robys Akurai, has had a phenomenal set of goals for his marriage.
 The things that he wanted to be as a husband and what his mission statement was for his marriage.
 When you have specific goals set in those areas, and there are things that are measurable,
 and you can actually go out to them, and you put them into play, you do something about them.
 And then credible things happen, you start to accomplish those.
 When we do next-level life, what we make sure is every single person leaves with an action plan in every one day.
 One of these areas.
 We spend two days getting to that action plan.
 Here's the things you're going to do in each one of these areas.
 It's dang powerful.
 Let me just tell you that.
 So you can download this easy to walk through template.
 We created this that goes to get your will of life more round, so that your life is more balanced.
 So very simple. Go to crslicer.com/288 download to get this PDF.
 It's crslicer.com 288 download so you can get this PDF.
 So again, two other things that people struggle with the most is time management and work balance.
 If you like to have better work-life balance, focus on this right now.
 Get the download going on this.
 If you do that, guess what it's going to give you better time management as well.
 You'll be way more intentional. You'll be way more cognizant.
 You will be way more proud of yourself and you will be very happy with the amount of time and the stuff that you get from each one of these areas in your life.
 Hopefully this was helpful for you today.
 As always, take this information.
 Change your leadership.
 Change your business.
 Change your life.
 Enjoy us on the next episode.
 That's it.
 (upbeat music)
 [BLANK_AUDIO]
