 You know, a difference in the Greeks and the Jews in our Western way and the Middle
 Eastern way of the Bible is the Greeks being philosophers.
 You learn sitting down.
 You know, we sit in desk.
 We read books.
 They're a writing culture.
 For the Jews, you learn in your body.
 It's through a bodymen.
 If you're a disciple of Jesus, you are not sitting at a desk taking notes.
 You are walking with him.
 You are being covered in the dust of your rabbi.
 You're following him and he's teaching as he goes.
 Welcome to the Crystal Cardo Show where we discuss leadership and life and discover
 that business is what you do, not who you are.
 Well folks, welcome to the show.
 Today I am crazy excited because joining me in this studio is the brilliant Christy McLean.
 Welcome to the show, Christy.
 Thank you, Christ.
 Thanks for having me today.
 This is a great dear friend of mine.
 We have known each other for literally decades.
 We go back away and have had a phenomenal trip recently where we went.
 Christy took us our leadership team went on a trip with Christy to Israel.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
 I have a great time.
